Country	ISO3	Region	CPI score 2019
Kenya	KEN	SSA	28
Lebanon	LBN	MENA	28
Liberia	LBR	SSA	28
Mauritania	MRT	SSA	28
Papua New Guinea	PNG	AP	28
Paraguay	PRY	AME	28
Russia	RUS	ECA	28
Uganda	UGA	SSA	28
Angola	AGO	SSA	26
Bangladesh	BGD	AP	26
Guatemala	GTM	AME	26
Honduras	HND	AME	26
Iran	IRN	MENA	26
Mozambique	MOZ	SSA	26
Nigeria	NGA	SSA	26
Cameroon	CMR	SSA	25
Central African Republic	CAF	SSA	25
Comoros	COM	SSA	25
Tajikistan	TJK	ECA	25
Uzbekistan	UZB	ECA	25
Madagascar	MDG	SSA	24
Zimbabwe	ZWE	SSA	24
Eritrea	ERI	SSA	23
Nicaragua	NIC	AME	22
Cambodia	KHM	AP	20
Chad	TCD	SSA	20
Iraq	IRQ	MENA	20
Burundi	BDI	SSA	19
Congo	COG	SSA	19
Turkmenistan	TKM	ECA	19
Democratic Republic of the Congo	COD	SSA	18
Guinea Bissau	GNB	SSA	18
Haiti	HTI	AME	18
Libya	LBY	MENA	18
"Korea, North"	PRK	AP	17
Afghanistan	AFG	AP	16
Equatorial Guinea	GNQ	SSA	16
Sudan	SDN	SSA	16
Venezuela	VEN	AME	16
Yemen	YEM	MENA	15
Syria	SYR	MENA	13
South Sudan	SSD	SSA	12
Somalia	SOM	SSA	9
